match,team,opponent,team_score,opponent_score,result
CeltaVigo_Valencia,CeltaVigo,Valencia,0.0,3.0,loss
CeltaVigo_Valencia,CeltaVigo,Valencia,0.0,3.0,loss
Valencia_CeltaVigo,Valencia,CeltaVigo,3.0,0.0,win
AthleticClub_RayoVallecano,AthleticClub,RayoVallecano,4.0,2.0,win
RayoVallecano_AthleticClub,RayoVallecano,AthleticClub,2.0,4.0,loss
RayoVallecano_AthleticClub,RayoVallecano,AthleticClub,2.0,4.0,loss
AthleticClub_RayoVallecano,AthleticClub,RayoVallecano,4.0,2.0,win
Osasuna_Getafe,Osasuna,Getafe,1.0,2.0,loss
Getafe_Osasuna,Getafe,Osasuna,2.0,1.0,win
Getafe_Osasuna,Getafe,Osasuna,2.0,1.0,win
Osasuna_Getafe,Osasuna,Getafe,1.0,2.0,loss
Villarreal_Sevilla,Villarreal,Sevilla,1.0,1.0,draw
Sevilla_Villarreal,Sevilla,Villarreal,1.0,1.0,draw
Sevilla_Villarreal,Sevilla,Villarreal,1.0,1.0,draw
Villarreal_Sevilla,Villarreal,Sevilla,1.0,1.0,draw
RealBetis_GironaFC,RealBetis,GironaFC,3.0,1.0,win
GironaFC_RealBetis,GironaFC,RealBetis,1.0,3.0,loss
GironaFC_RealBetis,GironaFC,RealBetis,1.0,3.0,loss
RealBetis_GironaFC,RealBetis,GironaFC,3.0,1.0,win
RealSociedad_Espanyol,RealSociedad,Espanyol,2.0,2.0,win
Espanyol_RealSociedad,Espanyol,RealSociedad,2.0,2.0,loss
Espanyol_RealSociedad,Espanyol,RealSociedad,2.0,2.0,loss
RealSociedad_Espanyol,RealSociedad,Espanyol,2.0,2.0,win
AtleticoMadrid_RealMadrid,AtleticoMadrid,RealMadrid,1.0,2.0,loss
RealMadrid_AtleticoMadrid,RealMadrid,AtleticoMadrid,2.0,1.0,win
RealMadrid_AtleticoMadrid,RealMadrid,AtleticoMadrid,2.0,1.0,win
AtleticoMadrid_RealMadrid,AtleticoMadrid,RealMadrid,1.0,2.0,loss
AthleticClub_Almeria,AthleticClub,Almeria,4.0,0.0,win
Almeria_AthleticClub,Almeria,AthleticClub,0.0,4.0,loss
Almeria_AthleticClub,Almeria,AthleticClub,0.0,4.0,loss
AthleticClub_Almeria,AthleticClub,Almeria,4.0,0.0,win
Cadiz_Villarreal,Cadiz,Villarreal,1.0,0.0,draw
Villarreal_Cadiz,Villarreal,Cadiz,0.0,1.0,draw
Villarreal_Cadiz,Villarreal,Cadiz,0.0,1.0,draw
Cadiz_Villarreal,Cadiz,Villarreal,1.0,0.0,draw
Getafe_RealValladolid,Getafe,RealValladolid,2.0,4.0,loss
RealValladolid_Getafe,RealValladolid,Getafe,4.0,2.0,win
RealValladolid_Getafe,RealValladolid,Getafe,4.0,2.0,win
Getafe_RealValladolid,Getafe,RealValladolid,2.0,4.0,loss
Sevilla_AtleticoMadrid,Sevilla,AtleticoMadrid,0.0,3.0,loss
AtleticoMadrid_Sevilla,AtleticoMadrid,Sevilla,3.0,0.0,win
AtleticoMadrid_Sevilla,AtleticoMadrid,Sevilla,3.0,0.0,win
Sevilla_AtleticoMadrid,Sevilla,AtleticoMadrid,0.0,3.0,loss
Mallorca_Barcelona,Mallorca,Barcelona,1.0,2.0,loss
Barcelona_Mallorca,Barcelona,Mallorca,2.0,1.0,win
Barcelona_Mallorca,Barcelona,Mallorca,2.0,1.0,win
Mallorca_Barcelona,Mallorca,Barcelona,1.0,2.0,loss
Espanyol_Valencia,Espanyol,Valencia,3.0,2.0,draw
Valencia_Espanyol,Valencia,Espanyol,2.0,3.0,draw
Valencia_Espanyol,Valencia,Espanyol,2.0,3.0,draw
Espanyol_Valencia,Espanyol,Valencia,3.0,2.0,draw
CeltaVigo_RealBetis,CeltaVigo,RealBetis,1.0,0.0,win
RealBetis_CeltaVigo,RealBetis,CeltaVigo,0.0,1.0,loss
RealBetis_CeltaVigo,RealBetis,CeltaVigo,0.0,1.0,loss
CeltaVigo_RealBetis,CeltaVigo,RealBetis,1.0,0.0,win
GironaFC_RealSociedad,GironaFC,RealSociedad,3.0,5.0,loss
RealSociedad_GironaFC,RealSociedad,GironaFC,5.0,3.0,win
RealSociedad_GironaFC,RealSociedad,GironaFC,5.0,3.0,win
GironaFC_RealSociedad,GironaFC,RealSociedad,3.0,5.0,loss
RealMadrid_Osasuna,RealMadrid,Osasuna,1.0,2.0,draw
Osasuna_RealMadrid,Osasuna,RealMadrid,2.0,1.0,draw
Osasuna_RealMadrid,Osasuna,RealMadrid,2.0,1.0,draw
RealMadrid_Osasuna,RealMadrid,Osasuna,1.0,2.0,draw
RayoVallecano_Elche,RayoVallecano,Elche,2.0,1.0,win
Elche_RayoVallecano,Elche,RayoVallecano,1.0,2.0,loss
Elche_RayoVallecano,Elche,RayoVallecano,1.0,2.0,loss
RayoVallecano_Elche,RayoVallecano,Elche,2.0,1.0,win
Osasuna_Valencia,Osasuna,Valencia,1.0,2.0,loss
Valencia_Osasuna,Valencia,Osasuna,2.0,1.0,win
Valencia_Osasuna,Valencia,Osasuna,2.0,1.0,win
Osasuna_Valencia,Osasuna,Valencia,1.0,2.0,loss
Almeria_RayoVallecano,Almeria,RayoVallecano,3.0,1.0,win
RayoVallecano_Almeria,RayoVallecano,Almeria,1.0,3.0,loss
RayoVallecano_Almeria,RayoVallecano,Almeria,1.0,3.0,loss
Almeria_RayoVallecano,Almeria,RayoVallecano,3.0,1.0,win
